contentId,recommendationTitle1,recommendationTitle2,recommendationTitle3,recommendationTitle4,recommendationTitle5
-6451309518266745024,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",The Rise And Growth of Ethereum Gets Mainstream Coverage,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",Ethereum and Bitcoin Are Market Leaders But Not Competitors,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk
-4110354420726924665,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",The Rise And Growth of Ethereum Gets Mainstream Coverage,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",Ethereum and Bitcoin Are Market Leaders But Not Competitors,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk
-7292285110016212249,America's allies are preparing for a bumpy ride,I've had the chance to troll Donald Trump. But I didn't.,What A Difference 2 Percentage Points Makes,How To Benefit From Getting Paid in Bitcoin,Blockchain Will Be Used By 15% of Big Banks By 2017
-6151852268067518688,Google shares data center security and design best practices,This year's Founders' Letter,Google Cloud Platform: The smart person's guide - TechRepublic,YouTube's New Messenger Means You'll Never Have to Leave YouTube,Top 5 GCP NEXT breakout sessions on YouTube (so far)
2448026894306402386,Are you a bitcoin denialist? - Chris Skinner's blog,Blockchain won't kill banks: Bitcoin pioneer,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Confused by blockchains? Revolution vs Evolution
-2826566343807132236,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,The Blockchain is the new Google,From fine wine to lotteries: Blockchain tech takes off - BBC News,"Walt Disney Now Loves Blockchain, Going Trustless in Seattle"
-2148899391355011268,Is FinTech Forcing Banking to a Tipping Point?,The Future of Digital Banking is Now,Digital Tool as Strategic Enabler for Banking Transformation,Blockchain CEO's Business Advice on Bitcoin Startups,Venture Capitalists Inject Nearly Half a Billion in Bitcoin
4119190424078847945,The Blockchain is the new Google,Confused by blockchains? Revolution vs Evolution,Banks find blockchain hard to put into practice - FT.com,Are you a bitcoin denialist? - Chris Skinner's blog,"Smart Managers Don't Compare People to the ""Average"""
-7926018713416777892,Are you a bitcoin denialist? - Chris Skinner's blog,Blockchain CEO's Business Advice on Bitcoin Startups,Governments vs Bitcoin: A Fight For Control,French Senate Will Debate on Bitcoin Regulation,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault
3353902017498793780,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's","Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's","For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",Ethereum and Bitcoin Are Market Leaders But Not Competitors,Solidity Available in Visual Studio - Ethereum Blog
-9157338616628196758,Negociação deve garantir ocupação de shoppings até 2017 | EXAME.com,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"Como o e-commerce brasileiro pode, enfim, começar a lucrar","SINAIS do FUTURO imediato: #1, internet das coisas",A saga do jovem CEO da Dasa
1805789466376069146,Introducing the new Google Cloud Load Balancing UI,Setting Up SSL proxy for Google Cloud Load Balancing,Getting Ready For HTTP/2: A Guide For Web Designers And Developers - Smashing Magazine,Implementing HTTP/2 in Production Environments,How HTTP/2 is Changing Web Performance Best Practices
-2081760549863309770,Setting Up HTTP(S) Load Balancing,Introducing the new Google Cloud Load Balancing UI,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),Google Cloud Platform for AWS Professionals,BrowserLab: Automated regression detection for the web
-5170198873410718233,Empresas de tecnologia preparam mais demissões após cortes na Cisco,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,Google's Cloud Investments are Finally Starting to Pay Off,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",What's next for China's booming fintech sector?
-3367778232969996503,Defining The Sharing Economy: What Is Collaborative Consumption--And What Isn't?,Serious Business: Is The Sharing Economy Good For Business?,The economic essentials of digital strategy,Automation and anxiety,The Conversational Economy Part 1: What's Causing the Bot Craze?
4988225165850707692,Will IIoT bolster industrial automation investments? - ReadWrite,Will blockchain drive the fourth Industrial Revolution?,The Internet of Things,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,GE Digital snags ServiceMax for $915 million
-5917314377186856799,Rede Agricultura de Precisão II,Livro reúne artigos de 30 pesquisadores sobre inovação na agricultura - RSS,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online"
6157037646878010131,Artigos e Palestras - Programa Agricultura de Precisão do SENAR,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Livro reúne artigos de 30 pesquisadores sobre inovação na agricultura - RSS,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",MOBILE TIME - Drones vão ajudar pequenos agricultores no Brasil
6023609667389715259,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,"The price of Ether, a bitcoin rival, is soaring because of a radical, $150 million experiment","Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's","Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",The Rise And Growth of Ethereum Gets Mainstream Coverage
7905485530310717815,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,From fine wine to lotteries: Blockchain tech takes off - BBC News,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,4 Blockchain Macro Trends: Where to Place Your Bets
8194079557551008273,Are you a bitcoin denialist? - Chris Skinner's blog,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,Blockchain CEO's Business Advice on Bitcoin Startups,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary"
-1672166631728511207,"Focada em nuvem, SAP dribla crise e cresce na América Latina | EXAME.com",Black Friday salva o ano do e-commerce,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Por que o Walmart não é Walmart no Brasil,A saga do jovem CEO da Dasa
-4374331682165863764,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Decentralizing IoT networks through blockchain,The Blockchain is the new Google,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum
5714314286511882372,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO","Conheça a Liga IoT, plataforma de inovação aberta que irá acelerar projetos ligados a Internet das Coisas",Economia Colaborativa: a tendência que está mudando o mercado,O Brasil das fintechs: conheça startups nacionais que podem fazer você sair dos bancos,Olhando para o futuro: 5 pontos de atenção
-8141818108252244664,[Books] Biblioteca FIXE: Sugestões de Leitura,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Séries com lições sobre empreendedorismo: As 7 melhores!,Vídeos motivacionais: os 21 vídeos mais incríveis.,Dicas para aumentar produtividade: 14 dicas incríveis.
-8939172344092554931,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,What DeepMind brings to Alphabet,Failing model: Plastic Card + App and Card + Wallet Players?,Google's new NHS deal is start of machine learning marketplace,Mark A Trello Card As Done (And Drop The Mic On That Task)
-1591454024897803197,Doing Data Science Right - Your Most Common Questions Answered,The new tech talent you need to succeed in digital,What makes a good (Android) Software Engineer,Lessons from Becoming a Data-Driven Organization,Digital Leadership Is Not an Optional Part of Being a CEO
-6874540813378776198,3 Pillars of the Most Successful Tech Products,Organizing for digital acceleration: Making a two-speed IT operating model work,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,State of the Digital Nation 2016,NOW NEW NEXT: How growth champions create new value
-3173020603774823976,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,World's Fastest Growing Open Source Platform Pushes Out New Release,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,"How to Build and Publish ES6 Modules Today, with Babel and Rollup"
-9107331682787867601,"A sneak peek at Google's upcoming travel app, Trips",Bots won't replace apps. Better apps will replace apps.,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Everything you need to know about the big changes coming to Newark airport,3 Pillars of the Most Successful Tech Products
-1021685224930603833,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"SINAIS do FUTURO imediato: #1, internet das coisas",Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi
1392715980907132808,Are you a bitcoin denialist? - Chris Skinner's blog,IBM's Watson aims to make hospital stays suck a whole lot less,Blockchain CEO's Business Advice on Bitcoin Startups,French Senate Will Debate on Bitcoin Regulation,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault
-6142462826726347616,Blockchain CEO's Business Advice on Bitcoin Startups,Are you a bitcoin denialist? - Chris Skinner's blog,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,French Senate Will Debate on Bitcoin Regulation,Bitit Launches to Solve Bitcoin Biggest Issues - Accessibility and Fraud
2255603060224026824,Are you a bitcoin denialist? - Chris Skinner's blog,Blockchain CEO's Business Advice on Bitcoin Startups,Governments vs Bitcoin: A Fight For Control,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,Ethereum and Bitcoin Are Market Leaders But Not Competitors
3037840448416371691,Are you a bitcoin denialist? - Chris Skinner's blog,Panama Papers Scandal Shows How Bitcoin Could Stop Corruption,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Blockchain CEO's Business Advice on Bitcoin Startups,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault
7767869406844505704,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",The new-world insurance agent,German insurance startup Clark closes €13.2M Series A,The insurance tech equation,How Blockchain Technology Can Improve the Insurance Industry
-7202774608580336956,Dial in with ease using the latest Google Calendar app for Android,New settings for 2-Step Verification,Introducing Casting into Hangouts,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?
5822211783543822544,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Introducing Ask a Female Engineer,Workplace diversity in Brazil: there's still a long way to go,"In war for talent, 'brogrammers' will be losers",Ahead of the curve: The future of performance management
6152652267138213180,So long MVP. Hello Minimum Loveable Product.,Seniority,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,"Walt Disney Now Loves Blockchain, Going Trustless in Seattle",Linux at 25: Q&A With Linus Torvalds
9032993320407723266,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs resigns as Apple CEO,"Smart Managers Don't Compare People to the ""Average""",Today in Apple history: World prepares for the NeXT Computer | Cult of Mac
7520301770873472812,Honda: mulheres já respondem por 50% das vendas via consórcio,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,App da Natura ganha recurso que permite pesquisar consultoras e pontos de venda mais próximos,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi
-5715266554592745669,Automation and anxiety,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,The return of the machinery question,How Robots Can Acquire New Skills from Their Shared Experience,AI Revolution 101 - AI Revolution
8545647269051113523,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,What DeepMind brings to Alphabet,Failing model: Plastic Card + App and Card + Wallet Players?,The End Of Apps As We Know Them - Inside Intercom,Google's new NHS deal is start of machine learning marketplace
668505019835540303,How to choose algorithms for Microsoft Azure Machine Learning,Generative Models,5 Skills You Need to Become a Machine Learning Engineer | Udacity,Ultimate AI battle - Apple vs. Google,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur
-6727393385193911938,Clippy's Back: The Future of Microsoft Is Chatbots,"So your AI bot went haywire, should you care?","Zo, Microsoft's latest attempt at a chatbot, is ready to converse on Kik app",How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,Japanese for dummies
7351002593233940239,The Best Linux Distros of 2016,Windows Subsystem for Linux Overview,Visual C++ for Linux Development,Microsoft's Open Source Love Affair Reaches New Heights,Good Software Takes Ten Years. Get Used To it.
1083474613819325601,Machine Learning for Designers,Clarifying the uses of artificial intelligence in the enterprise,How real businesses are using machine learning,5 Skills You Need to Become a Machine Learning Engineer | Udacity,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
-4994468824009200256,Here's how The White House wants the U.S. to approach AI R&D,Clippy's Back: The Future of Microsoft Is Chatbots,Andrew Ng: What AI Can and Can't Do,Artificial intelligence is hard to see,Deep learning will be huge - and here's who will dominate it
-4571929941432664145,IBM wants to bring machine learning to the mainframe,5 Skills You Need to Become a Machine Learning Engineer | Udacity,How real businesses are using machine learning,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
