contentId,recommendationTitle1,recommendationTitle2,recommendationTitle3,recommendationTitle4,recommendationTitle5
8890720798209849691,5 reasons your employees aren't sharing their knowledge,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Machine Learning and the VP Debate,Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
310515487419366995,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,The AI business landscape,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Touch (TV Series 2012-2013)
-1492913151930215984,"Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure",Announcing .NET Core 1.0,Accidental discovery could help batteries last years longer,Monitoramento em tempo real com Elasticsearch e Kibana,Sam Newman - Backends For Frontends
2372438485070148864,"DevOps security requires new mindset and tools for visibility, automation",DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Using Honcho to Create a Multi-Process Docker Container,"Docker - Build, Ship, and Run Any App, Anywhere",Nova regra do Banco Central pode significar o fim do Nubank; entenda - IDG Now!
-348408475077850711,Beyond Progressive Web Apps Part 1,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO,Using Honcho to Create a Multi-Process Docker Container,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Torus
372531153711028286,Using Honcho to Create a Multi-Process Docker Container,"Docker - Build, Ship, and Run Any App, Anywhere",Introduction to release engineering,The Continuous Delivery Maturity Model,Monitoramento em tempo real com Elasticsearch e Kibana
6521856301289868251,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Building Flipkart Lite: A Progressive Web App,Introducing Kotlin support in Spring Framework 5.0,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!"
-8142426490949346803,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Sete Reinos,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Usability Heuristics for Bots - Chatbots Magazine
7943088471380012839,Introduction to release engineering,"Autofill: What web devs should know, but don't",Cubr,Serverless Data Sync in Web Apps with Bit Torrent,Beyond Progressive Web Apps Part 1
1441248639512899483,11 Internet of Things (IoT) Protocols You Need to Know About,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...,Comercial japonês cria cidade de papel com caneta que conduz eletricidade,Par de alianças impede que seu parceiro assista Netflix sem você,The AI business landscape
-5924996404988010,"5 awesome Google Keep features you aren't using, but should be",The AI business landscape,"Google launches Springboard, an AI-powered assistant for its enterprise customers",The Physical Web,Touch (TV Series 2012-2013)
-4205346868684833897,"Google acquires Synergyse, an interactive training service for Google Apps",The AI business landscape,"Hello, a nova rede social do Orkut, está liberada no Brasil",5 reasons your employees aren't sharing their knowledge,Inbox by Gmail ganha formatação de texto | Google Discovery
4761910285123871012,5 reasons your employees aren't sharing their knowledge,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Top 10 Intranet Trends of 2016,Nespresso
5688279681867464747,Building more accessible technology,Designing smart notifications,The AI business landscape,5 reasons your employees aren't sharing their knowledge,Touch (TV Series 2012-2013)
-7681408188643141872,An overview of web service solutions in Drupal 8,Confused by blockchains? Revolution vs Evolution,Brazil's Bank Itaú Joins R3 Blockchain Consortium - CoinDesk,You won't recognize the new world of digital payments without this report,"No, Apple isn't the next BlackBerry - it's the next Microsoft"
-9192549002213406534,Elastic Stack 5.0.0 Released,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br","Hello, a nova rede social do Orkut, está liberada no Brasil",A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
7229629480273331039,9 Non-Threatening Leadership Strategies for Women,Top 10 Intranet Trends of 2016,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Two Different Sales Motions . . . .
7620697593009487898,Progressive Web App - first introduced on Google I/O | airberlin,Touch (TV Series 2012-2013),How I sped up the initial render of my Polymer app by 86%,The AI business landscape,Seria Stranger Things uma obra de arte do algoritmo da Netflix?
-861913102049789637,Google's Cloud Machine Learning service is now in public beta,Scala is the new golden child,Google lags behind Amazon and Microsoft's cloud in one important area,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Machine Learning Is No Longer Just for Experts
-8518096793350810174,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",A digital crack in banking's business model,Joel on Software,Ordering coffee in Italy: the 10 commandments,The Future of Business is Design
2048657552251060795,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Google acquires deep search engine Kifi to enhance its Spaces group chat app,The economic essentials of digital strategy,Goodbye accountants! Startup builds AI to automate all your accounting,How to Create an Exponential Mindset
3269302169678465882,The AI business landscape,"Hello, TensorFlow!",Machine Learning Is Redefining The Enterprise In 2016,"Amazon open-sources its own deep learning software, DSSTNE",A step-by-step guide to agile growth experiments
-4228415104574264137,Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,Getting Started with Activity & Fragment Transitions (part 1),Designing smart notifications,Building more accessible technology
5206308811707978799,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Two Different Sales Motions . . . .,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,7 Questions to Ask Before Your Next Digital Transformation,How bot-to-bot could soon replace APIs
-4070599188332885701,Communication patterns in a Microservice world,Cracking the Job Interview with TensorFlow,Bring Your App To Life with CALayers,System Code Geeks are giving away a FREE Sublime Text Editor License,Google is testing a new Material Design layout for desktop searches
5964888566269323942,The economic essentials of digital strategy,The new tech talent you need to succeed in digital,Mobile Time,How to Create an Exponential Mindset,Liberty vai adotar telemetria e baratear seguro para bons motoristas
